scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,3,7,122.93263,6900,3,0,0,2400,270,1999.9854,51.937096
1,4,7,120.99887,6900,3,0,0,2400,0,0,46.14641
1,5,7,150.23598,8619.893,4,500,1999.9858,2400,360,1999.9858,23.825014
1,6,7,125.96414,6900,3,0,0,2400,0,0,42.88017
1,7,7,134.99904,6900,3,300,1999.9857,2400,0,0,50.57161
1,8,7,134.99904,6900,3,0,0,2400,0,0,50.57161
1,9,7,124.817474,6900,3,0,0,2400,270,1999.9857,51.11113
1,10,7,124.50554,6900,3,0,0,2400,0,0,53.24357
1,0,8,105.083405,6900,3,0,0,2400,0,0,57.097504
1,1,8,126.150894,6900,3,500,1999.9846,2400,0,0,51.52559
1,2,8,119.98263,6900,3,0,0,2400,0,0,54.174496
1,3,8,117.17259,6900,3,0,0,2400,270,1999.9846,54.174496
1,4,8,111.492386,6900,3,0,0,2400,0,0,53.95528
1,5,8,140.44884,8659.503,4,500,1999.9851,2400,180,1999.9851,22.479261
1,6,8,121.685776,6900,3,0,0,2400,0,0,42.94476
1,7,8,134.99902,6900,3,300,1999.9855,2400,0,0,50.57161
1,8,8,134.99902,6900,3,0,0,2400,0,0,50.57161
1,9,8,123.66093,6900,3,0,0,2400,180,1999.9855,51.111122
1,10,8,125.96414,6900,3,0,0,2400,0,0,52.586945
1,0,9,105.083405,6900,3,0,0,2400,0,0,57.097504
1,1,9,126.150894,6900,3,500,1999.9846,2400,0,0,51.52559
1,2,9,119.98263,6900,3,0,0,2400,0,0,54.174496
1,3,9,117.17259,6900,3,0,0,2400,270,1999.9846,54.174496
1,4,9,111.492386,6900,3,0,0,2400,0,0,55.334557
1,5,9,143.90047,8580.101,4,500,1999.9851,2400,360,1999.9851,29.919735
1,6,9,115.75147,6900,3,0,0,2400,0,0,42.987617
1,7,9,130.38614,6900,3,300,1999.985,2400,0,0,50.571617
1,8,9,130.38614,6900,3,0,0,2400,0,0,50.571617
1,9,9,120.46349,6900,3,0,0,2400,270,1999.985,51.111153
1,10,9,116.70311,6900,3,0,0,2400,0,0,53.318718
1,0,10,110.616745,6900,3,0,0,2400,0,0,56.049374
1,1,10,131.30289,6900,3,500,1999.9851,2400,0,0,51.027054
1,2,10,127.07871,6900,3,0,0,2400,0,0,52.723244
1,3,10,121.04685,6900,3,0,0,2400,270,1999.9851,52.723244
1,4,10,117.669235,6900,3,0,0,2400,0,0,54.64471
1,5,10,148.92955,8589.84,4,500,1999.9856,2400,360,1999.9856,36.575718
1,6,10,122.37996,6900,3,0,0,2400,0,0,42.977974
1,7,10,134.99902,6900,3,300,1999.9855,2400,0,0,50.57161
1,8,10,134.99902,6900,3,0,0,2400,0,0,50.57161
1,9,10,124.25267,6900,3,0,0,2400,270,1999.9855,51.111122
1,10,10,123.43512,6900,3,0,0,2400,0,0,53.258957
1,0,11,75,6900,3,0,0,2400,0,0,60
1,1,11,92.64952,6900,3,500,1999.98,2400,0,0,53.966816
1,2,11,83.44552,6900,3,0,0,2400,0,0,59.71763
1,3,11,89.06983,6900,3,0,0,2400,270,1999.98,56.13623
1,4,11,78.833336,6900,3,0,0,2400,0,0,59.98408
1,5,11,107.7604,8482.386,4,500,1999.981,2400,360,1999.981,48.96959
1,6,11,81.18003,6900,3,0,0,2400,0,0,59.98195
1,7,11,96.13677,6900,3,300,1999.9807,2400,0,0,53.545773
1,8,11,96.13677,6900,3,0,0,2400,0,0,53.545773
1,9,11,92.18541,6900,3,0,0,2400,270,1999.9807,56.003994
1,10,11,81.694115,6900,3,0,0,2400,0,0,59.83961
