Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
5,0,3,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,3,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,3,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,3,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,3,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,3,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,4,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,4,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,4,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,4,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,4,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,4,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,4,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,4,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,4,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,4,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,4,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,5,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,5,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,5,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,5,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,5,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,5,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,5,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,5,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,5,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,5,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,5,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,6,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,6,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,6,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,6,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,6,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,6,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,6,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,6,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,6,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,6,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,6,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,7,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,7,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,7,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,7,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,7,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,7,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,7,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,7,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,7,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,7,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,7,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,8,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,8,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,8,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,8,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,8,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,8,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,8,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,8,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,8,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,8,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,8,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,9,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,9,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,9,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,9,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,9,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,9,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,9,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,9,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,9,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,9,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,9,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,10,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,10,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,10,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,10,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,10,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,10,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,10,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,10,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,10,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,10,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,10,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,11,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,11,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,11,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,11,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,11,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,11,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,11,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,11,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,11,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,11,17.636232,18.016668,18.016668,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,19.141668,280.37827,0.0
10,0,11,72.066666,18.016668,18.016668,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016668,297.4,0.0
0,0,12,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,12,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,12,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,12,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,12,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
5,0,12,45.828587,17.266666,17.266666,28.75,3.4028235E38,3.4028235E38,2.25,1.5,0.0,0.0,18.766666,448.39215,0.0
6,0,12,69.066666,17.266666,17.266666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.266666,308.7478,0.0
7,0,12,18.233482,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,19.141666,280.37827,0.0
8,0,12,5.757942,19.141666,19.141666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,19.141666,280.37827,0.0
9,0,12,17.636234,18.016666,18.016666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,1.9073486E-6,19.141666,280.37823,0.0
10,0,12,72.066666,18.016666,18.016666,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,18.016666,297.39996,0.0
0,0,13,63.06666,15.766666,15.766666,26.875,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,15.766666,331.44348,0.0
1,0,13,21.975292,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,1.875,0.0,0.0,0.0,17.641666,303.0739,0.0
2,0,13,30.47197,17.641666,17.641666,28.75,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,17.641666,303.0739,0.0
3,0,13,21.360779,16.516666,16.516666,28.75,3.4028235E38,3.4028235E38,0.0,1.125,0.0,0.0,17.641666,303.0739,0.0
4,0,13,66.066666,16.516666,16.516666,32.680656,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,16.516666,320.09564,0.0
