Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,UV,SF,KQ,
6,0,14,6.283264,16.35001,16.35001,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.35001,142.9248
0,0,15,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,15,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,15,25.493855,22.725006,22.725006,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725006,430.4875
3,0,15,107.82579,16.31667,16.31667,20,3.40E+38,3.40E+38,3.2916667,9.700002,0,0,26.01667,572.7567
4,0,15,48.00056,16.31667,16.31667,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.31667,143.40816
5,0,15,62.8834,16.350006,16.350006,20,3.40E+38,3.40E+38,1.175,1.1416668,0,0,17.491673,316.3692
6,0,15,6.283264,16.350006,16.350006,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350006,142.92485
0,0,16,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,16,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,16,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,430.4874
3,0,16,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,572.7568
4,0,16,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,143.4083
5,0,16,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,316.36923
6,0,16,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,142.9249
0,0,17,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,17,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,17,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,17,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
4,0,17,48.000565,16.316683,16.316683,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316683,143.40836
5,0,17,62.8834,16.350014,16.350014,20,3.40E+38,3.40E+38,1.175,1.1416676,0,0,17.491682,316.36932
6,0,17,6.283264,16.350014,16.350014,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350014,142.92502
0,0,18,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,18,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,18,25.493855,22.725002,22.725002,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725002,430.48737
3,0,18,107.82579,16.316675,16.316675,20,3.40E+38,3.40E+38,3.2916667,9.700001,0,0,26.016676,572.7566
4,0,18,48.000557,16.316679,16.316679,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.316679,143.40811
5,0,18,62.883404,16.35001,16.35001,20,3.40E+38,3.40E+38,1.175,1.1416674,0,3.81E-06,17.491676,316.36908
6,0,18,6.283264,16.35001,16.35001,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.35001,142.9248
0,0,19,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,19,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,19,25.493855,22.725006,22.725006,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725006,430.4875
3,0,19,107.82579,16.31667,16.31667,20,3.40E+38,3.40E+38,3.2916667,9.700002,0,0,26.01667,572.7567
4,0,19,48.00056,16.31667,16.31667,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.31667,143.40816
5,0,19,62.8834,16.350006,16.350006,20,3.40E+38,3.40E+38,1.175,1.1416668,0,0,17.491673,316.3692
6,0,19,6.283264,16.350006,16.350006,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350006,142.92485
0,0,20,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,20,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,20,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,430.4874
3,0,20,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,572.7568
4,0,20,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,143.4083
5,0,20,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,316.36923
6,0,20,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,142.9249
0,0,21,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,21,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,21,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,21,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
4,0,21,48.000565,16.316683,16.316683,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316683,143.40836
5,0,21,62.8834,16.350014,16.350014,20,3.40E+38,3.40E+38,1.175,1.1416676,0,0,17.491682,316.36932
6,0,21,6.283264,16.350014,16.350014,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350014,142.92502
0,0,22,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,22,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,22,25.493855,22.725002,22.725002,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725002,430.48737
3,0,22,107.82579,16.316675,16.316675,20,3.40E+38,3.40E+38,3.2916667,9.700001,0,0,26.016676,572.7566
4,0,22,48.000557,16.316679,16.316679,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.316679,143.40811
5,0,22,62.883404,16.35001,16.35001,20,3.40E+38,3.40E+38,1.175,1.1416674,0,3.81E-06,17.491676,316.36908
6,0,22,6.283264,16.35001,16.35001,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.35001,142.9248
0,0,23,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,23,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,23,25.493855,22.725006,22.725006,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725006,430.4875
3,0,23,107.82579,16.31667,16.31667,20,3.40E+38,3.40E+38,3.2916667,9.700002,0,0,26.01667,572.7567
4,0,23,48.00056,16.31667,16.31667,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.31667,143.40816
5,0,23,62.8834,16.350006,16.350006,20,3.40E+38,3.40E+38,1.175,1.1416668,0,0,17.491673,316.3692
6,0,23,6.283264,16.350006,16.350006,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350006,142.92485
0,0,24,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,24,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,24,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,430.4874
3,0,24,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,572.7568
4,0,24,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,143.4083
5,0,24,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,316.36923
6,0,24,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,142.9249
0,0,25,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,25,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,25,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,25,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
4,0,25,48.000565,16.316683,16.316683,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316683,143.40836
5,0,25,62.8834,16.350014,16.350014,20,3.40E+38,3.40E+38,1.175,1.1416676,0,0,17.491682,316.36932
6,0,25,6.283264,16.350014,16.350014,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350014,142.92502
0,0,26,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,26,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,26,25.493855,22.725002,22.725002,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725002,430.48737
3,0,26,107.82579,16.316675,16.316675,20,3.40E+38,3.40E+38,3.2916667,9.700001,0,0,26.016676,572.7566
4,0,26,48.000557,16.316679,16.316679,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.316679,143.40811
5,0,26,62.883404,16.35001,16.35001,20,3.40E+38,3.40E+38,1.175,1.1416674,0,3.81E-06,17.491676,316.36908
6,0,26,6.283264,16.35001,16.35001,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.35001,142.9248
0,0,27,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,27,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,27,25.493855,22.725006,22.725006,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725006,430.4875
3,0,27,107.82579,16.31667,16.31667,20,3.40E+38,3.40E+38,3.2916667,9.700002,0,0,26.01667,572.7567
4,0,27,48.00056,16.31667,16.31667,28.824821,3.40E+38,3.40E+38,0,0,0,0,16.31667,143.40816
5,0,27,62.8834,16.350006,16.350006,20,3.40E+38,3.40E+38,1.175,1.1416668,0,0,17.491673,316.3692
6,0,27,6.283264,16.350006,16.350006,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350006,142.92485
0,0,28,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,28,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,28,25.493856,22.725,22.725,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725,430.4874
3,0,28,107.8258,16.316666,16.316666,20,3.40E+38,3.40E+38,3.2916667,9.7,0,7.63E-06,26.016666,572.7568
4,0,28,48.000565,16.316666,16.316666,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316666,143.4083
5,0,28,62.8834,16.349998,16.349998,20,3.40E+38,3.40E+38,1.175,1.1416665,0,0,17.491665,316.36923
6,0,28,6.283264,16.349998,16.349998,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.349998,142.9249
0,0,29,110.40923,25.000008,25.000008,40,3.40E+38,3.40E+38,0,0,0,0,25.000008,397.5
1,0,29,25.479927,22.725006,22.725006,40,3.40E+38,3.40E+38,0,2.2750006,0,0,25.000008,397.5
2,0,29,25.493856,22.725008,22.725008,46.708134,3.40E+38,3.40E+38,0,0,0,1.91E-06,22.725008,430.4875
3,0,29,107.8258,16.316679,16.316679,20,3.40E+38,3.40E+38,3.2916667,9.700003,0,7.63E-06,26.016682,572.75684
4,0,29,48.000565,16.316683,16.316683,28.824821,3.40E+38,3.40E+38,0,0,0,3.81E-06,16.316683,143.40836
5,0,29,62.8834,16.350014,16.350014,20,3.40E+38,3.40E+38,1.175,1.1416676,0,0,17.491682,316.36932
6,0,29,6.283264,16.350014,16.350014,3.40E+38,3.40E+38,3.40E+38,0,0,0,9.54E-07,16.350014,142.92502
0,0,30,110.40924,25,25,40,3.40E+38,3.40E+38,0,0,0,7.63E-06,25,397.49988
1,0,30,25.479927,22.725,22.725,40,3.40E+38,3.40E+38,0,2.275,0,0,25,397.49988
2,0,30,25.493855,22.725002,22.725002,46.708134,3.40E+38,3.40E+38,0,0,0,0,22.725002,430.48737
3,0,30,107.82579,16.316675,16.316675,20,3.40E+38,3.40E+38,3.2916667,9.700001,0,0,26.016676,572.7566
