Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,135.0,0.0
1,0,0,23.992718,22.608334,22.608334,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,1.9073486E-6,22.95,135.0,0.0
2,0,0,23.864933,20.904167,20.904167,30.0,3.4028235E38,3.4028235E38,0.0,1.7041668,0.0,1.9073486E-6,22.608334,135.0,0.0
3,0,0,12.0504,20.904167,20.904167,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904167,135.0,0.0
4,0,0,21.88541,22.791668,22.791668,22.791668,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791668,135.0,0.0
5,0,0,32.727272,30.0,30.0,40.0,3.4028235E38,3.4028235E38,7.208332,0.0,0.0,0.0,30.0,135.0,0.22500134
6,0,0,5.625,30.0,30.0,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.0,180.0,0.0
7,0,0,26.023155,29.061207,29.061207,40.0,3.4028235E38,3.4028235E38,0.0,0.9387924,0.0,0.0,30.0,180.0,0.0
8,0,0,8.132015,29.061207,29.061207,46.927067,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,29.061207,180.0,0.0
9,0,0,102.40819,30.229965,30.229965,40.0,3.4028235E38,3.4028235E38,2.1041667,0.93540853,0.0,0.0,31.165373,225.0,0.54583335
10,0,0,9.218498,30.229965,30.229965,43.86268,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.229965,180.0,0.0
11,0,0,41.11241,32.52482,32.52482,40.0,3.4028235E38,3.4028235E38,3.0291667,0.7343136,0.0,0.0,33.259132,225.0,0.1583333
12,0,0,9.97213,32.52482,32.52482,44.316296,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.52482,180.0,0.0
13,0,0,94.27998,25.509098,25.509098,40.0,3.4028235E38,3.4028235E38,2.5125,9.528221,0.0,0.0,35.03732,225.0,0.39583325
14,0,0,27.874126,25.509098,25.509098,38.341667,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.509098,180.0,0.0
15,0,0,21.076458,27.16743,27.16743,48.491665,3.4028235E38,3.4028235E38,1.6583333,0.0,0.0,0.0,27.16743,180.0,0.14999998
16,0,0,35.186073,28.675764,28.675764,50.0,3.4028235E38,3.4028235E38,1.5083333,0.0,0.0,0.0,28.675764,225.0,0.054166675
17,0,0,13.419893,28.675764,28.675764,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.675764,225.0,0.0
18,0,0,29.047396,27.160606,27.160606,40.0,3.4028235E38,3.4028235E38,0.0,1.5151577,0.0,1.9073486E-6,28.675764,225.0,0.0
19,0,0,31.360703,25.954092,25.954092,40.0,3.4028235E38,3.4028235E38,0.0,1.2065145,0.0,0.0,27.160606,180.0,0.0
20,0,0,28.036661,25.954092,25.954092,37.879166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,25.954092,180.0,0.0
21,0,0,31.273586,28.074924,28.074924,40.0,3.4028235E38,3.4028235E38,2.1208334,0.0,0.0,0.0,28.074924,180.0,0.037499905
22,0,0,11.82365,28.074924,28.074924,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,28.074924,180.0,0.0
23,0,0,29.419346,26.766127,26.766127,40.0,3.4028235E38,3.4028235E38,0.0,1.3087982,0.0,0.0,28.074924,180.0,0.0
24,0,0,23.707445,26.766127,26.766127,37.166668,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.766127,180.0,0.0
25,0,0,28.75368,29.59946,29.59946,38.683334,3.4028235E38,3.4028235E38,2.8333333,0.0,0.0,0.0,29.59946,180.0,0.087500095
26,0,0,34.887463,30.916128,30.916128,40.0,3.4028235E38,3.4028235E38,1.3166667,0.0,0.0,0.0,30.916128,180.0,0.058333278
27,0,0,151.20677,30.916128,30.916128,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.916128,180.0,0.0
28,0,0,32.86521,28.293598,28.293598,40.0,3.4028235E38,3.4028235E38,0.0,2.6225295,0.0,0.0,30.916128,180.0,0.0
29,0,0,34.232067,28.293598,28.293598,46.2,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.293598,180.0,0.0
30,0,0,141.39574,20.0,20.923098,20.0,3.4028235E38,3.4028235E38,3.8,11.1705,0.0,0.9230957,31.1705,225.0,0.13750005
31,0,0,69.88636,20.0,20.0,28.729166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,0,79.92065,20.0,20.009005,20.0,3.4028235E38,3.4028235E38,1.2708334,1.2618291,0.0,0.009002686,21.26183,135.0,0.13333333
33,0,0,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,1,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,237.22499,0.0
1,0,1,23.992716,22.608335,22.608335,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,0.0,22.950003,237.22499,0.0
2,0,1,23.86493,20.904171,20.904171,30.0,3.4028235E38,3.4028235E38,0.0,1.7041669,0.0,0.0,22.608337,242.17918,0.0
3,0,1,12.0504,20.904171,20.904171,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904171,266.88956,0.0
4,0,1,21.88541,22.791672,22.791672,22.791672,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791672,239.52084,0.0
5,0,1,32.727272,30.0,30.0,40.0,3.4028235E38,3.4028235E38,7.2083282,0.0,0.0,0.0,30.0,135.0,0.45000648
6,0,1,5.625,30.0,30.0,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.0,325.0,0.0
7,0,1,26.023155,29.061207,29.061207,40.0,3.4028235E38,3.4028235E38,0.0,0.9387924,0.0,0.0,30.0,325.0,0.0
8,0,1,8.132013,29.061209,29.061209,46.927067,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.061209,338.6125,0.0
9,0,1,102.40819,30.229965,30.229965,40.0,3.4028235E38,3.4028235E38,2.1041667,0.9354086,0.0,0.0,31.165375,489.17343,1.0916667
