Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,135.0,0.0
1,0,0,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,135.0,0.0
2,0,0,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,135.0,0.0
3,0,0,11.654058,20.354166,20.354166,28.158333,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,135.0,0.0
4,0,0,21.284498,22.195833,22.195833,22.604166,3.4028235E38,3.4028235E38,1.8416667,0.0,0.0,1.9073486E-6,22.195833,135.0,0.04583335
5,0,0,32.727272,29.591667,29.591667,40.0,3.4028235E38,3.4028235E38,7.3958335,0.0,0.0,0.0,29.591667,135.0,0.037499905
6,0,0,5.625,29.591667,29.591667,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.591667,180.0,0.0
7,0,0,25.72699,28.648489,28.648489,40.0,3.4028235E38,3.4028235E38,0.0,0.9431773,0.0,1.9073486E-6,29.591667,180.0,0.0
8,0,0,8.012072,28.648489,28.648489,46.37711,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.648489,180.0,0.0
9,0,0,100.42687,30.318382,30.318382,40.0,3.4028235E38,3.4028235E38,2.625,0.9551059,0.0,0.0,31.273489,225.0,0.025000095
10,0,0,9.081123,30.318382,30.318382,43.939816,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.318382,180.0,0.0
11,0,0,40.36445,32.501476,32.501476,40.0,3.4028235E38,3.4028235E38,2.9291666,0.7460707,0.0,3.8146973E-6,33.247547,225.0,0.25833344
12,0,0,9.819294,32.501476,32.501476,43.83387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.501476,180.0,0.0
13,0,0,92.67032,25.632196,25.632196,40.0,3.4028235E38,3.4028235E38,2.9083333,9.777613,0.0,0.0,35.40981,225.0,0.0
14,0,0,27.462729,25.632196,25.632196,38.254166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.632196,180.0,0.0
15,0,0,20.807951,27.378029,27.378029,48.4875,3.4028235E38,3.4028235E38,1.7458333,0.0,0.0,0.0,27.378029,180.0,0.0625
16,0,0,34.76116,28.89053,28.89053,50.0,3.4028235E38,3.4028235E38,1.5125,0.0,0.0,0.0,28.89053,225.0,0.049999952
