Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
0,0,0,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,135.0,0.0
1,0,0,23.992718,22.608334,22.608334,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,1.9073486E-6,22.95,135.0,0.0
2,0,0,23.864933,20.904167,20.904167,30.0,3.4028235E38,3.4028235E38,0.0,1.7041668,0.0,1.9073486E-6,22.608334,135.0,0.0
3,0,0,12.0504,20.904167,20.904167,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904167,135.0,0.0
4,0,0,21.88541,22.791668,22.791668,22.795834,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791668,135.0,0.0
5,0,0,32.727272,29.995834,29.995834,40.0,3.4028235E38,3.4028235E38,7.204167,0.0,0.0,0.0,29.995834,135.0,0.22916651
6,0,0,5.625,29.995834,29.995834,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.995834,180.0,0.0
7,0,0,26.023155,29.057173,29.057173,40.0,3.4028235E38,3.4028235E38,0.0,0.938662,0.0,0.0,29.995834,180.0,0.0
8,0,0,8.132013,29.057173,29.057173,46.60207,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.057173,180.0,0.0
9,0,0,102.40819,30.541298,30.541298,40.0,3.4028235E38,3.4028235E38,2.4291666,0.94504213,0.0,0.0,31.48634,225.0,0.22083354
10,0,0,9.218498,30.541298,30.541298,44.029346,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.541298,180.0,0.0
11,0,0,41.11241,32.66629,32.66629,40.0,3.4028235E38,3.4028235E38,2.8625,0.73750764,0.0,0.0,33.403797,225.0,0.32500005
12,0,0,9.97213,32.66629,32.66629,43.991295,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.66629,180.0,0.0
13,0,0,94.27998,25.848717,25.848717,40.0,3.4028235E38,3.4028235E38,2.8375,9.655076,0.0,0.0,35.50379,225.0,0.070833206
14,0,0,27.874126,25.848717,25.848717,38.583332,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.848717,180.0,0.0
15,0,0,21.076458,27.265383,27.265383,48.679165,3.4028235E38,3.4028235E38,1.4166666,0.0,0.0,0.0,27.265383,180.0,0.39166665
16,0,0,35.186073,28.586216,28.586216,50.0,3.4028235E38,3.4028235E38,1.3208333,0.0,0.0,0.0,28.586216,225.0,0.24166667
17,0,0,13.419895,28.586216,28.586216,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.586216,225.0,0.0
18,0,0,29.047394,27.07579,27.07579,40.0,3.4028235E38,3.4028235E38,0.0,1.5104263,0.0,0.0,28.586216,225.0,0.0
19,0,0,31.360703,25.873043,25.873043,40.0,3.4028235E38,3.4028235E38,0.0,1.2027469,0.0,0.0,27.07579,180.0,0.0
20,0,0,28.03666,25.873043,25.873043,37.95,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.873043,180.0,0.0
21,0,0,31.273586,27.923042,27.923042,40.0,3.4028235E38,3.4028235E38,2.05,0.0,0.0,0.0,27.923042,180.0,0.10833335
22,0,0,11.823647,27.923042,27.923042,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,27.923042,180.0,0.0
23,0,0,29.41935,26.621325,26.621325,40.0,3.4028235E38,3.4028235E38,0.0,1.3017178,0.0,1.9073486E-6,27.923042,180.0,0.0
24,0,0,23.707449,26.621325,26.621325,37.183334,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,26.621325,180.0,0.0
25,0,0,28.753681,29.437992,29.437992,38.7375,3.4028235E38,3.4028235E38,2.8166666,0.0,0.0,0.0,29.437992,180.0,0.104166746
26,0,0,34.887463,30.700493,30.700493,40.0,3.4028235E38,3.4028235E38,1.2625,0.0,0.0,0.0,30.700493,180.0,0.11249995
27,0,0,151.20676,30.700493,30.700493,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.700493,180.0,0.0
28,0,0,32.865215,28.096254,28.096254,40.0,3.4028235E38,3.4028235E38,0.0,2.6042378,0.0,0.0,30.700493,180.0,0.0
29,0,0,34.23207,28.096254,28.096254,46.129166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,3.8146973E-6,28.096254,180.0,0.0
30,0,0,141.31326,20.0,20.84062,20.0,3.4028235E38,3.4028235E38,3.8708334,11.126467,0.0,0.84062195,31.126467,225.0,0.0666666
31,0,0,69.88636,20.0,20.0,28.708334,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,0,79.94025,20.0,20.0286,20.0,3.4028235E38,3.4028235E38,1.2916666,1.2630649,0.0,0.0286026,21.263065,135.0,0.11250007
33,0,0,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,1,63.88294,22.95,22.95,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.95,237.22499,0.0
1,0,1,23.992716,22.608335,22.608335,30.0,3.4028235E38,3.4028235E38,0.0,0.34166667,0.0,0.0,22.950003,237.22499,0.0
2,0,1,23.86493,20.904171,20.904171,30.0,3.4028235E38,3.4028235E38,0.0,1.7041669,0.0,0.0,22.608337,242.17918,0.0
3,0,1,12.0504,20.904171,20.904171,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.904171,266.88956,0.0
4,0,1,21.88541,22.791672,22.791672,22.795834,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.791672,239.52084,0.0
5,0,1,32.727272,29.995838,29.995838,40.0,3.4028235E38,3.4028235E38,7.204167,0.0,0.0,0.0,29.995838,135.06038,0.45833302
6,0,1,5.625,29.995838,29.995838,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.995838,325.0604,0.0
7,0,1,26.023155,29.057177,29.057177,40.0,3.4028235E38,3.4028235E38,0.0,0.9386622,0.0,0.0,29.995838,325.0604,0.0
8,0,1,8.132013,29.057177,29.057177,46.60207,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.057177,338.671,0.0
9,0,1,102.40819,30.541302,30.541302,40.0,3.4028235E38,3.4028235E38,2.4291666,0.94504225,0.0,0.0,31.486343,484.4275,0.44166708
