Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
3,0,1,11.654058,20.354166,20.354166,28.166666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,274.86462,0.0
4,0,1,21.284496,22.187502,22.187502,22.566666,3.4028235E38,3.4028235E38,1.8333334,0.0,0.0,0.0,22.187502,248.28125,0.10833335
5,0,1,32.727272,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,0.0,29.620834,140.49788,0.0
6,0,1,5.625,29.620834,29.620834,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.620834,330.4979,0.0
7,0,1,25.726988,28.67673,28.67673,40.0,3.4028235E38,3.4028235E38,0.0,0.9441069,0.0,0.0,29.620836,330.4979,0.0
8,0,1,8.012068,28.67673,28.67673,46.39794,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.67673,344.18744,0.0
9,0,1,100.42687,30.325571,30.325571,40.0,3.4028235E38,3.4028235E38,2.6041667,0.9553321,0.0,0.0,31.280903,487.1904,0.0916667
10,0,1,9.081121,30.325571,30.325571,43.85648,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.325571,320.27936,0.0
11,0,1,40.36444,32.58997,32.58997,40.0,3.4028235E38,3.4028235E38,3.0125,0.74810195,0.0,0.0,33.33807,434.30508,0.3499999
12,0,1,9.819294,32.58997,32.58997,43.88387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.58997,287.44556,0.0
13,0,1,92.67032,25.66006,25.66006,40.0,3.4028235E38,3.4028235E38,2.8583333,9.788241,0.0,0.0,35.448303,400.17535,0.099999905
14,0,1,27.462729,25.660063,25.660063,38.283333,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.660063,387.92917,0.0
15,0,1,20.807955,27.37673,27.37673,48.4625,3.4028235E38,3.4028235E38,1.7166667,0.0,0.0,1.9073486E-6,27.37673,363.0375,0.18333316
16,0,1,34.76116,28.91423,28.91423,50.0,3.4028235E38,3.4028235E38,1.5375,0.0,0.0,0.0,28.91423,530.7438,0.049999952
17,0,1,13.257835,28.91423,28.91423,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,28.91423,530.7438,0.0
18,0,1,28.69661,27.357754,27.357754,40.0,3.4028235E38,3.4028235E38,0.0,1.5564767,0.0,0.0,28.91423,530.7438,0.0
19,0,1,30.980412,26.118338,26.118338,40.0,3.4028235E38,3.4028235E38,0.0,1.2394166,0.0,1.9073486E-6,27.357754,363.31265,0.0
20,0,1,27.623667,26.118338,26.118338,38.0625,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,26.118338,381.28418,0.0
21,0,1,30.884249,28.055838,28.055838,40.0,3.4028235E38,3.4028235E38,1.9375,0.0,0.0,1.9073486E-6,28.055838,353.19043,0.4416666
22,0,1,11.649347,28.055838,28.055838,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,28.055838,353.19043,0.0
23,0,1,29.073656,26.722767,26.722767,40.0,3.4028235E38,3.4028235E38,0.0,1.3330715,0.0,0.0,28.055838,353.19043,0.0
24,0,1,23.35867,26.722767,26.722767,37.270832,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,26.722767,372.51996,0.0
25,0,1,28.407528,29.451933,29.451933,38.7375,3.4028235E38,3.4028235E38,2.7291667,0.0,0.0,0.0,29.451933,332.94708,0.3833332
26,0,1,34.48462,30.714434,30.714434,40.0,3.4028235E38,3.4028235E38,1.2625,0.0,0.0,0.0,30.714434,314.64078,0.2249999
27,0,1,148.92897,30.714434,30.714434,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.714434,314.64078,0.0
28,0,1,32.51522,28.063559,28.063559,40.0,3.4028235E38,3.4028235E38,0.0,2.6508756,0.0,3.8146973E-6,30.714434,314.64078,0.0
29,0,1,33.727013,28.063559,28.063559,46.323147,454.583,3.4028235E38,0.0,0.0,0.0,0.0,28.063559,353.0785,0.0
30,0,1,174.09833,20.0,20.995975,20.0,3.4028235E38,3.4028235E38,3.6625,11.228069,0.0,0.9959717,31.22807,497.063,0.5500002
31,0,1,69.88636,20.0,20.0,28.616667,211.96042,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,1,80.079445,20.0,20.167803,20.0,3.4028235E38,3.4028235E38,1.3833333,1.2994305,0.0,0.1678009,21.29943,261.15826,0.041666746
33,0,1,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,2,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,245.19998,0.0
1,0,2,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,245.19998,0.0
2,0,2,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,250.15417,0.0
3,0,2,11.654058,20.354166,20.354166,28.166666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,274.86462,0.0
