Segment,Period,Step,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ,ONRQ
4,0,1,21.284496,22.241669,22.241669,22.566666,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,0.0,22.241669,247.49583,0.0
5,0,1,32.727272,29.675007,29.675007,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,0.0,29.675007,139.7125,0.0
6,0,1,5.625,29.675007,29.675007,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.675007,329.7125,0.0
7,0,1,25.726986,28.729174,28.729174,40.0,3.4028235E38,3.4028235E38,0.0,0.94583356,0.0,0.0,29.675007,329.7125,0.0
8,0,1,8.012072,28.729174,28.729174,46.352108,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.729174,343.4271,0.0
9,0,1,100.42688,30.42084,30.42084,40.0,3.4028235E38,3.4028235E38,2.65,0.95833355,0.0,7.6293945E-6,31.379173,485.73642,0.0
10,0,1,9.081125,30.42084,30.42084,43.68148,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.42084,318.89795,0.0
11,0,1,40.36444,32.854176,32.854176,40.0,3.4028235E38,3.4028235E38,3.1875,0.7541667,0.0,0.0,33.60834,430.1244,0.0
12,0,1,9.819294,32.854176,32.854176,43.83387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.854176,283.6146,0.0
13,0,1,92.670334,25.887505,25.887505,40.0,3.4028235E38,3.4028235E38,2.9083333,9.875003,0.0,7.6293945E-6,35.76251,395.30194,0.0
14,0,1,27.462729,25.887506,25.887506,38.191666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,25.887506,384.6313,0.0
15,0,1,20.807951,27.695839,27.695839,48.4375,3.4028235E38,3.4028235E38,1.8083333,0.0,0.0,0.0,27.695839,358.41046,0.0
16,0,1,34.76116,29.258339,29.258339,50.0,3.4028235E38,3.4028235E38,1.5625,0.0,0.0,0.0,29.258339,525.7543,0.0
17,0,1,13.257835,29.258339,29.258339,50.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,9.536743E-7,29.258339,525.7543,0.0
18,0,1,28.69661,27.683338,27.683338,40.0,3.4028235E38,3.4028235E38,0.0,1.5750003,0.0,0.0,29.258339,525.7542,0.0
19,0,1,30.98041,26.429173,26.429173,40.0,3.4028235E38,3.4028235E38,0.0,1.2541668,0.0,0.0,27.68334,358.5917,0.0
20,0,1,27.623665,26.429173,26.429173,37.841667,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,26.429173,376.7771,0.0
21,0,1,30.884247,28.587505,28.587505,40.0,3.4028235E38,3.4028235E38,2.1583333,0.0,0.0,0.0,28.587505,345.4813,0.0
22,0,1,11.649345,28.587505,28.587505,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.587505,345.4813,0.0
23,0,1,29.073656,27.229174,27.229174,40.0,3.4028235E38,3.4028235E38,0.0,1.3583336,0.0,0.0,28.587507,345.4813,0.0
24,0,1,23.358664,27.229174,27.229174,37.079166,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,27.229174,365.17712,0.0
25,0,1,28.40753,30.150007,30.150007,38.625,3.4028235E38,3.4028235E38,2.9208333,0.0,0.0,1.9073486E-6,30.150007,322.82504,0.0
26,0,1,34.48461,31.525007,31.525007,40.0,3.4028235E38,3.4028235E38,1.375,0.0,0.0,0.0,31.525007,302.88754,0.0
27,0,1,148.92897,31.525007,31.525007,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,31.525007,302.88754,0.0
28,0,1,32.515213,28.804173,28.804173,40.0,3.4028235E38,3.4028235E38,0.0,2.720834,0.0,0.0,31.525007,302.88754,0.0
29,0,1,33.727013,28.804173,28.804173,46.048145,447.71185,3.4028235E38,0.0,0.0,0.0,0.0,28.804173,342.3396,0.0
30,0,1,175.4107,20.0,22.308346,20.0,3.4028235E38,3.4028235E38,3.9375,11.5875025,0.0,2.3083496,31.587502,491.8497,0.0
31,0,1,69.88636,20.0,20.0,28.595833,211.90213,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
32,0,1,80.11858,20.0,20.20694,20.0,3.4028235E38,3.4028235E38,1.4041667,1.3006966,0.0,0.2069397,21.300697,261.1399,0.0
33,0,1,9.119318,20.0,20.0,3.4028235E38,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.0,90.0,0.0
0,0,2,61.760666,22.4,22.4,30.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,22.4,245.19998,0.0
1,0,2,23.402258,22.058332,22.058332,30.0,3.4028235E38,3.4028235E38,0.0,0.34166664,0.0,0.0,22.4,245.19998,0.0
2,0,2,23.27249,20.354166,20.354166,30.0,3.4028235E38,3.4028235E38,0.0,1.7041667,0.0,0.0,22.058332,250.15417,0.0
3,0,2,11.654058,20.354166,20.354166,28.1125,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,20.354166,274.86462,0.0
4,0,2,21.284498,22.241667,22.241667,22.566666,3.4028235E38,3.4028235E38,1.8875,0.0,0.0,1.9073486E-6,22.241667,247.49582,0.0
5,0,2,32.727276,29.675,29.675,40.0,3.4028235E38,3.4028235E38,7.4333334,0.0,0.0,3.8146973E-6,29.675,139.7124,0.0
6,0,2,5.625,29.675,29.675,40.0,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,29.675,329.7124,0.0
7,0,2,25.726986,28.729166,28.729166,40.0,3.4028235E38,3.4028235E38,0.0,0.94583327,0.0,0.0,29.675,329.7124,0.0
8,0,2,8.012072,28.729166,28.729166,46.352108,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,28.729166,343.427,0.0
9,0,2,100.42688,30.42084,30.42084,40.0,3.4028235E38,3.4028235E38,2.65,0.9583333,0.0,7.6293945E-6,31.379173,485.73633,0.0
10,0,2,9.081125,30.42084,30.42084,43.68148,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,30.42084,318.89786,0.0
11,0,2,40.36444,32.85417,32.85417,40.0,3.4028235E38,3.4028235E38,3.1875,0.7541667,0.0,0.0,33.608337,430.12424,0.0
12,0,2,9.819294,32.85417,32.85417,43.83387,3.4028235E38,3.4028235E38,0.0,0.0,0.0,0.0,32.85417,283.61444,0.0
13,0,2,92.67033,25.887512,25.887512,40.0,3.4028235E38,3.4028235E38,2.9083333,9.875001,0.0,0.0,35.762512,395.3018,0.0
14,0,2,27.46273,25.887512,25.887512,38.191666,3.4028235E38,3.4028235E38,0.0,0.0,0.0,1.9073486E-6,25.887512,384.63116,0.0
