Seg,Period,Step ,NV,MF,MI,MO1,MO2,MO3,ONRF,OFRF,DEF
0,0,0,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,0,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,0,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,0,18.77407,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,0,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,1,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,1,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,1,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,1,18.774067,10.000002,10.000002,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,1,17.142857,10.000002,10.000002,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,2,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,2,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,2,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,2,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,2,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,3,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,3,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,3,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,3,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,3,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,4,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,4,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,4,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,4,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,4,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,5,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,5,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,5,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,5,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,5,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,6,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,6,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,6,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,6,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,6,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,7,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,7,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,7,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,7,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,7,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,8,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,8,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,8,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,8,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,8,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,9,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,9,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,9,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,9,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,9,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,10,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,10,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,10,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,10,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,10,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,11,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,11,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,11,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,11,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,11,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,12,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,12,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,12,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,12,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,12,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,13,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,13,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,13,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,13,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,13,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,14,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,14,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,14,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,14,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,14,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,15,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,15,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,15,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,15,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,15,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,16,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,16,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,16,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,16,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,16,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,17,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,17,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,17,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,17,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,17,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,18,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,18,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,18,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,18,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,18,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,19,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,19,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,19,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,19,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,19,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,20,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,20,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,20,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,20,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,20,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,21,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,21,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,21,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,21,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,21,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,22,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,22,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,22,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
3,0,22,18.774067,10,10,28.570862,3.40E+38,3.40E+38,1.6666666,0,0
4,0,22,17.142857,10,10,3.40E+38,3.40E+38,3.40E+38,0,0,0
0,0,23,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
1,0,23,14.285714,8.333333,8.333333,28.57143,3.40E+38,3.40E+38,0,0,0
2,0,23,14.285714,8.333333,8.333333,26.904196,3.40E+38,3.40E+38,0,0,0
