Segment, Period, Step, NV, MF, MI, MO1, MO2, MO3, ONRF, OFRF, DEF, UV, SF, KQ, ASF
0, 0, 0, 57.574712121212116, 21.25, 21.25, 30.000000000000014, 33.92754896551726, 30.0, 0.0, 0.0, 0.0, 0.0, 21.25, 261.875, 34.069060689655174
1, 0, 0, 22.173448863636246, 20.908333330000126, 20.90833333, 30.000000000000014, 33.61843470931034, 30.0, 0.0, 0.34166667, 0.0, 0.0, 21.250000000000124, 261.875, 33.92754896551726
2, 0, 0, 22.039355113636372, 19.204166830000123, 19.204166830000126, 30.000000000000014, 32.978741775862076, 30.0, 0.0, 1.7041665, 0.0, 7.105427357601002e-15, 20.908333330000122, 266.82916666666665, 33.960101379310345
3, 0, 0, 10.865273607954503, 19.204166830000165, 19.204166830000123, 28.1125, 33.69373931034484, 30.0, 1.8875000000000008, 0.0, 0.0, 0.0, 19.204166830000165, 291.5395833333333, 34.682908275862076
4, 0, 0, 20.051707196969595, 21.091666830000268, 21.091666830000165, 22.56666666664871, 30.000000000000014, 30.0, 7.433333333351289, 0.0, 0.0, 0.0, 21.091666830000268, 264.17083333333335, 33.69373931034484
5, 0, 0, 32.72727272727262, 28.525000163351663, 28.525000163351557, 40.000000000000014, 43.10344827586209, 40.0, 0.0, 0.0, 0.0, 0.0, 28.525000163351663, 156.3875, 30.000000000000014
6, 0, 0, 5.624999999999979, 28.525000163351685, 28.525000163351663, 40.000000000000014, 45.39217820689657, 40.0, 0.0, 0.0, 0.0, 0.0, 28.525000163351685, 346.3875, 43.10344827586209
7, 0, 0, 24.68204024242415, 27.57916676335178, 27.579166763351683, 40.000000000000014, 44.71590591034486, 40.0, 0.0, 0.9458334000000002, 0.0, 0.0, 28.52500016335178, 346.3875, 45.39217820689657
8, 0, 0, 7.6024545075757075, 27.57916676335183, 27.57916676335178, 46.28765833333334, 55.54605080918492, 48.93765833333334, 2.650000000000001, 0.0, 0.0, 0.0, 27.57916676335183, 360.1020833333333, 45.661739310344856
9, 0, 0, 96.2865196969693, 29.27083336335224, 29.27083336335183, 40.000000000000014, 44.1610997034483, 40.0, 0.0, 0.9583334, 0.0, 0.0, 30.22916676335224, 502.1619427710664, 55.54605080918492
10, 0, 0, 8.613699734848431, 29.270833363352292, 29.27083336335224, 43.63110833333334, 52.52627972804991, 46.81860833333334, 3.1875, 0.0, 0.0, 0.0, 29.270833363352292, 335.5729166666667, 45.1194331034483
