scen,seg,period,KB,SC,nl,ONRD,ONRC,RM,OFRD,OFRC,Speed
1,0,0,57.311325,7200,3,0,0,2400,0,0,69.794235
1,1,0,72.275246,7200,3,500,2099.9768,2400,0,0,62.261982
1,2,0,65.256905,7200,3,0,0,2400,0,0,68.95822
1,3,0,78.61776,4800,2,0,0,2400,0,0,57.238976
1,4,0,65.256905,7200,3,0,0,2400,0,0,68.95822
1,5,0,65.256905,7200,3,0,0,2400,0,0,68.95822
1,0,1,66.94415,7200,3,0,0,2400,0,0,68.71399
1,1,1,82.9932,7200,3,500,2099.9795,2400,0,0,61.450817
1,2,1,75.99883,7200,3,0,0,2400,0,0,28.913128
1,3,1,89.99912,4800,2,0,0,2400,0,0,53.333332
1,4,1,70.4341,7200,3,0,0,2400,0,0,68.14815
1,5,1,70.4341,7200,3,0,0,2400,0,0,68.14815
1,0,2,57.311325,7200,3,0,0,2400,0,0,69.794235
1,1,2,72.275246,7200,3,500,2099.9768,2400,0,0,62.261982
1,2,2,65.256905,7200,3,0,0,2400,0,0,38.308758
1,3,2,78.61776,4800,2,0,0,2400,0,0,53.333332
1,4,2,65.256905,7200,3,0,0,2400,0,0,68.14815
1,5,2,65.256905,7200,3,0,0,2400,0,0,68.14815
1,0,3,50,7200,3,0,0,2400,0,0,70
1,1,3,63.693375,7200,3,500,2099.9736,2400,0,0,62.80088
1,2,3,57.31136,7200,3,0,0,2400,0,0,69.79408
1,3,3,63.9058,4800,2,0,0,2400,0,0,62.5912
1,4,3,57.31136,7200,3,0,0,2400,0,0,69.79408
1,5,3,57.31136,7200,3,0,0,2400,0,0,69.79408
