Seg,Period,Step,NV,MI,MF,MO1,MO2,MO3,ONRF,OFRF,DEF,UV,SF,KQ
13,0,1,65.34808,17.96917,17.96917,40,3.40E+38,3.40E+38,2.803125,8.262502,0,0,26.23167,538.3195
14,0,1,18.669266,17.96917,17.96917,38.260624,3.40E+38,3.40E+38,0,0,0,0,17.96917,499.44708
15,0,1,14.456169,19.708544,19.708544,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,0,19.708544,474.22617
16,0,1,25.028734,21.213127,21.213127,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213127,642.4097
17,0,1,9.545906,21.213127,21.213127,50,3.40E+38,3.40E+38,0,0,0,0,21.213127,642.4097
18,0,1,20.662136,19.892294,19.892294,40,3.40E+38,3.40E+38,0,1.3208334,0,0,21.213127,642.4097
19,0,1,21.954327,18.842297,18.842297,40,3.40E+38,3.40E+38,0,1.05,0,0,19.892296,471.5618
20,0,1,19.209352,18.842299,18.842299,37.920418,3.40E+38,3.40E+38,0,0,0,1.91E-06,18.842299,486.7868
21,0,1,22.063583,20.921883,20.921883,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921883,456.6328
22,0,1,8.155506,20.921883,20.921883,40,3.40E+38,3.40E+38,0,0,0,0,20.921883,456.6328
23,0,1,20.999,19.78855,19.78855,40,3.40E+38,3.40E+38,0,1.1333336,0,0,20.921883,456.6328
24,0,1,16.447618,19.78855,19.78855,37.18729,3.40E+38,3.40E+38,0,0,0,0,19.78855,473.06613
25,0,1,20.740091,22.601257,22.601257,38.768543,3.40E+38,3.40E+38,2.8127084,0,0,0,22.601257,432.2819
26,0,1,25.373825,23.832716,23.832716,40,3.40E+38,3.40E+38,1.2314583,0,0,0,23.832716,414.42572
27,0,1,104.60237,23.832716,23.832716,40,3.40E+38,3.40E+38,0,0,0,0,23.832716,414.42572
28,0,1,24.257708,21.557714,21.557714,40,3.40E+38,3.40E+38,0,2.2750008,0,0,23.832716,414.42572
29,0,1,24.112268,21.557714,21.557714,46.214584,3.40E+38,3.40E+38,0,0,0,1.91E-06,21.557714,447.41324
30,0,1,104.99766,15.643129,15.643129,20,3.40E+38,3.40E+38,3.7854166,9.700003,0,0,25.343132,582.5247
31,0,1,45.064095,15.643129,15.643129,28.64875,3.40E+38,3.40E+38,0,0,0,0,15.643129,153.17468
32,0,1,60.950737,15.852713,15.852713,20,3.40E+38,3.40E+38,1.3512499,1.1416669,0,0,16.994379,323.58154
33,0,1,5.996317,15.852713,15.852713,3.40E+38,3.40E+38,3.40E+38,0,0,0,0,15.852713,150.13571
0,0,2,37.08874,14.279166,14.279166,30,3.40E+38,3.40E+38,0,0,0,0,14.279166,362.9521
1,0,2,14.839179,13.995832,13.995832,30,3.40E+38,3.40E+38,0,0.28333333,0,0,14.279166,362.9521
2,0,2,14.702055,12.570832,12.570832,30,3.40E+38,3.40E+38,0,1.425,0,9.54E-07,13.995832,367.06042
3,0,2,6.9792604,12.570832,12.570832,28.420834,3.40E+38,3.40E+38,0,0,0,0,12.570832,387.7229
4,0,2,13.083911,14.149999,14.149999,23.779167,3.40E+38,3.40E+38,1.5791667,0,0,9.54E-07,14.149999,364.82495
5,0,2,19.26383,20.370832,20.370832,40,3.40E+38,3.40E+38,6.2208333,0,0,0,20.370832,274.62292
6,0,2,3.3109703,20.370834,20.370834,40,3.40E+38,3.40E+38,0,0,0,0,20.370834,464.6229
7,0,2,17.378654,19.579168,19.579168,40,3.40E+38,3.40E+38,0,0.7916667,0,0,20.370834,464.6229
8,0,2,5.212635,19.579168,19.579168,46.4269,3.40E+38,3.40E+38,0,0,0,0,19.579168,476.10205
9,0,2,66.11821,21.000002,21.000002,40,3.40E+38,3.40E+38,2.225,0.80416673,0,0,21.804169,625.079
10,0,2,5.8671284,21.000002,21.000002,42.940304,3.40E+38,3.40E+38,0,0,0,0,21.000002,455.49997
11,0,2,28.244543,23.428543,23.428543,40,3.40E+38,3.40E+38,3.0618749,0.6333334,0,0,24.061876,570.7818
12,0,2,6.358021,23.428543,23.428543,43.392796,3.40E+38,3.40E+38,0,0,0,0,23.428543,420.28607
13,0,2,65.34808,17.969168,17.969168,40,3.40E+38,3.40E+38,2.803125,8.262501,0,0,26.231668,538.31946
14,0,2,18.669268,17.969168,17.969168,38.260624,3.40E+38,3.40E+38,0,0,0,1.91E-06,17.969168,499.44705
15,0,2,14.456171,19.708542,19.708542,48.495415,3.40E+38,3.40E+38,1.7393749,0,0,9.54E-07,19.708542,474.22614
16,0,2,25.028732,21.213125,21.213125,50,3.40E+38,3.40E+38,1.5045834,0,0,0,21.213125,642.40967
17,0,2,9.545906,21.213125,21.213125,50,3.40E+38,3.40E+38,0,0,0,0,21.213125,642.40967
18,0,2,20.662134,19.892292,19.892292,40,3.40E+38,3.40E+38,0,1.3208332,0,0,21.213125,642.40967
19,0,2,21.954327,18.842293,18.842293,40,3.40E+38,3.40E+38,0,1.05,0,0,19.892292,471.5617
20,0,2,19.209349,18.842295,18.842295,37.920418,3.40E+38,3.40E+38,0,0,0,0,18.842295,486.78668
21,0,2,22.06358,20.921879,20.921879,40,3.40E+38,3.40E+38,2.0795832,0,0,0,20.921879,456.6327
22,0,2,8.155506,20.921879,20.921879,40,3.40E+38,3.40E+38,0,0,0,0,20.921879,456.6327
